desc,link,name,position,price
,"http://short.58.com/zd_p/7424943e-3a7f-4517-b2c8-acd224ea6381/?target=oc-16-xgk_ephv_32493068864399q-feykn&end=end,http://e.58.com/all/zhiding.html","
                        天景山如意苑龙眠大道地铁口次卧带阳台450                    ,
                            ,
                        ",天景山公寓如意苑,450
,"http://short.58.com/zd_p/97f5d5bb-ee6c-4e9d-aaf3-f4f37e601a6c/?target=oc-16-xgk_ephv_39520739968045q-feykn&end=end,http://e.58.com/all/zhiding.html","
                        个人可月付小单间便宜租南京交院地铁两百米广告长期有效                    ,
                            ,
                        ",,350
,"http://short.58.com/zd_p/490c6f3f-3c36-4298-98df-3e29c8c39afc/?target=oc-16-xgk_ephv_36356090493370q-feykn&end=end,http://e.58.com/all/zhiding.html","
                        龙眠大道地铁口 天景山欣荣苑装主卧精装出租                    ,
                            ,
                        ",,450
,"http://short.58.com/zd_p/46eba1d6-0f15-46c8-8d5e-8e15d6eb902e/?target=oc-16-xgk_ephv_32035394039223q-feykn&end=end,http://e.58.com/all/zhiding.html","
                        江宁开发区百家湖花园 5室1厅 次卧 朝南 中等装修                    ,
                            ,
                        ",百家湖花园印象威尼斯,800
,"http://short.58.com/zd_p/54213026-12be-4e42-9328-29a32fb8c1b8/?target=oc-16-xgk_ephv_84423929176089q-feykn&end=end,http://e.58.com/all/zhiding.html","
                        《独立卫生间》!!21世纪国际国际公寓                    ,
                            ,
                        ",现代城世纪国际公寓,1000
,"http://short.58.com/zd_p/abecc345-a4e1-48b8-8d17-3223360b4e7f/?target=oc-16-xgk_ephv_84462368434347q-feykn&end=end,http://e.58.com/all/zhiding.html","
                        江宁东山天景山公寓景 3室1厅 主卧 朝南 精装修个人房源                    ,
                            ,
                        ",天景山公寓景秀苑,750
,"http://short.58.com/zd_p/59e355a7-55dc-4703-bb1a-a6b18fd89d61/?target=oc-16-xgk_ephv_32039241809464q-feykn&end=end,http://e.58.com/all/zhiding.html","
                        诚信大道地铁站单间800每月个人信息                    ,
                            ,
                        ",殷巷新寓,900
,"http://short.58.com/zd_p/4e1797b7-52eb-4b78-8104-aab2096b5b64/?target=oc-16-xgk_ephv_36258782412016q-feykn&end=end,http://e.58.com/all/zhiding.html","
                        江宁科学园 天景山欣荣苑精装，主卧，次卧                    ,
                            ,
                        ",,450
,"http://short.58.com/zd_p/19cc9aa4-60d4-4b63-adbe-cc3cb3b8151e/?target=oc-16-xgk_ephv_32807430996750q-feykn&end=end,http://e.58.com/all/zhiding.html","
                        个人可月付带独立卫生间地铁一号线南京交院地铁口旁                    ,
                            ,
                        ",,600
,"http://short.58.com/zd_p/29c3c979-52c7-4008-bff5-2b1bd601d547/?target=oc-16-xgk_ephv_84733264335672q-feykn&end=end,http://e.58.com/all/zhiding.html","
                        地铁10号线翠屏山站，精品单间出租                    ,
                            ,
                        ",托乐嘉睦邻居,400
,"http://short.58.com/zd_p/08b0a560-bcb5-4126-9bb6-efe146237e4c/?target=oc-16-xgk_ephv_32356178389965q-feykn&end=end,http://e.58.com/all/zhiding.html","
                        诚信大道地铁站殷巷新寓精装单间出租                    ,
                            ,
                        ",殷巷新寓,900
,"http://short.58.com/zd_p/b6e7c01c-97ce-4ed5-bbe5-455306fbb692/?target=oc-16-xgk_ephv_32031421919273q-feykn&end=end,http://e.58.com/all/zhiding.html","
                        龙眠大道地铁口，天景山欣荣苑 3室1厅 男女不限                    ,
                            ,
                        ",,450
,"http://short.58.com/zd_p/2ce3486a-7394-4e2b-82a2-da7ddb3f8dc7/?target=oc-16-xgk_ephv_32027818912405q-feykn&end=end,http://e.58.com/all/zhiding.html","
                        地铁旁16平次卧空调500/月可短租可长租                    ,
                            ,
                        ",,500
,"http://short.58.com/zd_p/1133f421-f829-449e-ad97-06ea2b7cbbdd/?target=oc-16-xgk_ephv_84739858045175q-feykn&end=end,http://e.58.com/all/zhiding.html","
                        龙眠大道地铁口精装次卧400元出租 长短租皆可碧华苑                    ,
                            ,
                        ",天景山公寓碧华苑,400
,"http://short.58.com/zd_p/81d0c8d5-604a-458c-966b-0ba9132b6027/?target=oc-16-xgk_ephv_84485889150914q-feykn&end=end,http://e.58.com/all/zhiding.html","
                        个人出租天印大道口精装朝南单间                    ,
                            ,
                        ",恒安嘉园安园,650
,http://nj.58.com/hezu/29938153810606x.shtml,"
                        江宁科学园武夷绿洲三期 3室1厅 主卧 朝南 精装修                    ",武夷绿洲三期品茗苑,900
,http://nj.58.com/hezu/29647958111550x.shtml,"
                        【J6创意园对面】【翠屏山地铁口托乐嘉附近】可月付                    ",翠屏东南,900
,http://nj.58.com/hezu/29958113575104x.shtml,"
                        龙眠大道地铁旁，走路几分钟到，房东直租，免费看房                    ",,700
,http://nj.58.com/hezu/29603505181517x.shtml,"
                        一号线天印大道 恒安嘉园 精装修                    ",,1100
,http://nj.58.com/hezu/29990570053177x.shtml,"
                        水竹苑 3室2厅2卫 单间1000起男女不限                    ",,1200
,http://nj.58.com/hezu/29912409138104x.shtml,"
                        一号线胜太路地铁口 胜利新寓 精装合租 可月付                    ",,900
,http://nj.58.com/hezu/29515829570881x.shtml,"
                        天龙湾花园水月秦淮 主卧带独卫900元男女不限                    ",,900
,http://nj.58.com/hezu/30057079354812x.shtml,"
                        3号线宏运大道正次卧宏运国际村 3室2厅2卫 男女不限                    ",,1000
,http://nj.58.com/hezu/30159232465324x.shtml,"
                        金陵天城 3室1厅1卫 男女不限                    ",,900
,http://nj.58.com/hezu/29613629691818x.shtml,"
                        急租地铁口房子好房子便宜租欢迎前来看房                    ",,500
,http://nj.58.com/hezu/29728040782159x.shtml,"
                        江宁科学园天景山公寓如 3室1厅 次卧 朝东 简单装修                    ",天景山公寓如意苑,550
,http://nj.58.com/hezu/30159185764162x.shtml,"
                        靠竹山路地铁【骆村新寓精装单间出租】房间大 格局好 随时入住                    ",骆村新寓,1200
,http://nj.58.com/hezu/30137285184201x.shtml,"
                        文鼎雅苑 3室1厅1卫 男女不限                    ",,900
,http://nj.58.com/hezu/30027376075700x.shtml,"
                        东湖苑1栋 3室1厅2卫 男女不限                    ",,850
,http://nj.58.com/hezu/29980395514684x.shtml,"
                        东湖苑，文鼎广场                    ",东湖苑,800
,http://nj.58.com/hezu/29762299551427x.shtml,"
                        天元城 3室2厅1卫 男女不限 豪华装修 宜家风                    ",,1200
,http://nj.58.com/hezu/29989737116995x.shtml,"
                        天景山公寓荣华苑 精装单间朝南带阳台 个人出租不玩猫腻                    ",,500
,http://nj.58.com/hezu/30159109524779x.shtml,"
                        江宁东山天琪福苑 3室1厅 主卧 朝南 精装修                    ",天琪福苑,1280
,http://nj.58.com/hezu/30125987825096x.shtml,"
                        龙池新寓 3室1厅1卫 限女生                    ",,500
,http://nj.58.com/hezu/30136760304582x.shtml,"
                        麒麟紫荆城 ，合租房，阳台房间                    ",,580
,http://nj.58.com/hezu/30159087353676x.shtml,"
                        （单间出租）殷巷新寓 4室1厅1卫 男女不限 （个人）                    ",,600
,http://nj.58.com/hezu/29969994256297x.shtml,"
                        龙眠大道天景山欣荣苑精装单间                    ",,400
,http://nj.58.com/hezu/29262047914295x.shtml,"
                        胜太路地铁旁，胜泰华府1室1卫出租                    ",,700
,http://nj.58.com/hezu/29768871606608x.shtml,"
                        万达步行街中心花园20平空调700                    ",中心花园,700
,http://nj.58.com/hezu/29757626488655x.shtml,"
                        个人 实图 一号线双龙大道 南方花园主卧朝南可月付                    ",南方花园(东区),1200
,http://nj.58.com/hezu/30067045772212x.shtml,"
                        急租竹山路地铁站旁，次卧带阳台900/月                    ",,900
,http://nj.58.com/hezu/28168960802987x.shtml,"
                        房东直租 保利梧桐雨 4室2厅 主卧 朝南 精装修                    ",,600
,http://nj.58.com/hezu/29237450517179x.shtml,"
                        个人 靠近竹山路地铁口 精装修                    ",,1300
,http://nj.58.com/hezu/29735999807277x.shtml,"
                        个人房东出租！义务商品城地铁龙眠大道站天景山如意苑                    ",天景山公寓如意苑,1000
,http://nj.58.com/hezu/30150455250987x.shtml,"
                        急租，名嘉佳园 男女不限                    ",名嘉佳园,650
,http://nj.58.com/hezu/30067704815434x.shtml,"
                        地铁口。真实照片，不是中介                    ",湖滨世纪花园-夏林苑,900
,http://nj.58.com/hezu/27169390807750x.shtml,"
                        交院地铁口200米万裕龙庭水岸朝南实体墙单间出租                    ",,600
,http://nj.58.com/hezu/29946273727301x.shtml,"
                        个人 实图 一号线双龙大道 南方花园A组 朝南主卧                    ",,1200
,http://nj.58.com/hezu/29536142547649x.shtml,"
                        双龙大道地铁口单间700/月                    ",,700
,http://nj.58.com/hezu/29780158216270x.shtml,"
                        靠近龙眠大道地铁口个人单间出租                    ",,500
,,,,
